date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-11,5,-2,0.0,3.4,1,43,11:52 AM,12:42 AM,08:46 AM,05:55 PM,-0,0,2,0,14,79,83,0.3,1020,5,7,107,8,97401
2011-01-12,9,5,0.0,3.4,2,51,12:16 PM,01:44 AM,08:45 AM,05:56 PM,6,4,6,4,25,100,98,0.0,1020,9,3,168,12,97401
2011-01-13,10,7,0.0,3.4,2,58,12:44 PM,02:46 AM,08:45 AM,05:57 PM,9,7,9,7,22,98,99,2.3,1020,10,5,174,12,97401
2011-01-14,10,9,0.0,3.4,2,65,01:19 PM,03:51 AM,08:44 AM,05:59 PM,10,8,10,8,19,100,99,0.7,1029,10,0,170,10,97401
2011-01-15,12,9,0.0,4.8,3,72,02:00 PM,04:54 AM,08:44 AM,06:00 PM,10,9,10,9,20,100,98,2.0,1024,12,4,173,11,97401
2011-01-16,13,11,0.0,4.8,3,80,02:52 PM,05:56 AM,08:43 AM,06:01 PM,12,10,12,10,22,100,99,1.1,1018,13,7,193,13,97401
2011-01-17,11,5,0.0,4.8,2,87,03:54 PM,06:52 AM,08:43 AM,06:02 PM,8,7,8,7,12,96,98,0.0,1026,11,1,241,8,97401
2011-01-18,7,1,0.0,4.8,2,94,05:05 PM,07:42 AM,08:42 AM,06:03 PM,5,4,5,4,9,96,97,2.5,1023,7,3,183,5,97401
2011-01-19,6,0,0.0,9.6,1,100,06:21 PM,08:24 AM,08:42 AM,06:05 PM,3,2,4,2,11,60,95,0.6,1028,6,4,110,7,97401
2011-01-20,11,-2,0.0,9.7,2,100,07:39 PM,09:00 AM,08:41 AM,06:06 PM,-0,3,3,3,7,10,78,0.0,1029,11,9,84,4,97401
2011-01-21,8,1,0.0,4.8,1,84,08:57 PM,09:31 AM,08:40 AM,06:07 PM,4,4,5,4,10,94,91,0.0,1025,8,6,186,5,97401
2011-01-22,9,-2,0.0,9.7,2,77,10:14 PM,09:59 AM,08:39 AM,06:09 PM,2,2,4,2,10,21,91,0.0,1027,9,6,55,5,97401
2011-01-23,13,0,0.0,9.7,2,69,11:31 PM,10:25 AM,08:39 AM,06:10 PM,-1,4,4,4,7,47,71,0.0,1024,13,10,132,4,97401
2011-01-24,10,1,0.0,9.7,3,62,No moonrise,10:53 AM,08:38 AM,06:11 PM,3,5,6,5,10,49,81,0.0,1024,10,9,188,5,97401
2011-01-25,12,-1,0.0,9.8,1,55,12:46 AM,11:23 AM,08:37 AM,06:12 PM,3,5,5,5,9,27,85,0.0,1027,12,6,74,5,97401
2011-01-26,15,2,0.0,9.8,3,48,02:01 AM,11:56 AM,08:36 AM,06:14 PM,2,5,6,5,14,26,77,0.0,1025,15,10,114,7,97401
2011-01-27,15,2,0.0,9.8,3,40,03:13 AM,12:34 PM,08:35 AM,06:15 PM,2,5,7,5,13,33,75,0.0,1023,15,10,165,7,97401
2011-01-28,10,2,0.0,4.9,2,33,04:21 AM,01:21 PM,08:34 AM,06:17 PM,4,4,5,4,14,73,88,0.0,1019,10,8,190,7,97401
2011-01-29,13,2,0.0,9.9,2,26,05:22 AM,02:13 PM,08:33 AM,06:18 PM,4,6,6,6,8,51,89,0.0,1016,13,5,149,4,97401
2011-01-30,12,-1,0.0,9.9,2,19,06:14 AM,03:13 PM,08:32 AM,06:19 PM,1,3,4,3,6,19,86,0.0,1020,12,5,151,3,97401
2011-01-31,12,-1,0.0,9.9,1,15,06:58 AM,04:16 PM,08:31 AM,06:21 PM,1,3,4,3,8,27,84,0.0,1029,12,5,153,4,97401
2011-02-01,9,-2,0.0,9.9,2,0,07:34 AM,05:21 PM,08:30 AM,06:22 PM,-4,-1,2,-1,17,5,68,0.0,1032,9,9,56,9,97401
2011-02-02,11,-3,0.0,9.9,2,0,08:03 AM,06:25 PM,08:29 AM,06:23 PM,-6,1,2,1,9,12,55,0.0,1032,11,10,100,5,97401
2011-02-03,14,-2,0.0,10.0,2,0,08:29 AM,07:28 PM,08:27 AM,06:25 PM,-3,4,4,4,6,17,62,0.0,1035,14,10,165,3,97401
2011-02-04,14,-0,0.0,8.3,3,3,08:52 AM,08:29 PM,08:26 AM,06:26 PM,4,6,6,6,9,52,87,0.0,1034,14,7,227,5,97401
2011-02-05,11,6,0.0,5.0,2,11,09:14 AM,09:31 PM,08:25 AM,06:28 PM,8,8,8,8,8,96,97,0.0,1032,11,2,205,5,97401
2011-02-06,13,4,0.0,8.3,2,18,09:35 AM,10:31 PM,08:24 AM,06:29 PM,7,8,8,8,11,69,91,0.0,1031,13,5,211,6,97401
2011-02-07,7,2,0.0,5.0,2,26,09:56 AM,11:32 PM,08:23 AM,06:30 PM,5,4,5,4,13,95,96,0.2,1030,7,5,254,8,97401
2011-02-08,6,-0,0.0,8.3,1,33,10:19 AM,No moonset,08:21 AM,06:32 PM,3,2,3,2,8,69,97,0.0,1030,6,3,177,5,97401
2011-02-09,8,-3,0.0,10.1,2,41,10:45 AM,12:33 AM,08:20 AM,06:33 PM,-1,0,2,0,12,6,82,0.0,1032,8,7,123,7,97401
2011-02-10,12,-2,0.0,10.2,2,48,11:16 AM,01:36 AM,08:19 AM,06:35 PM,-2,2,3,2,9,20,69,0.0,1026,12,10,63,5,97401
2011-02-11,14,1,0.0,10.2,3,56,11:54 AM,02:38 AM,08:17 AM,06:36 PM,1,5,6,5,11,51,71,0.0,1022,14,10,166,6,97401
2011-02-12,14,4,0.0,10.0,3,64,12:39 PM,03:40 AM,08:16 AM,06:37 PM,4,7,8,7,19,44,77,0.0,1018,14,9,196,11,97401
2011-02-13,9,4,0.0,5.1,2,71,01:35 PM,04:37 AM,08:14 AM,06:39 PM,6,6,6,6,8,97,97,5.2,1016,9,4,151,5,97401
2011-02-14,11,3,0.0,10.0,3,79,02:39 PM,05:29 AM,08:13 AM,06:40 PM,5,5,7,5,18,59,88,1.1,1004,11,8,176,10,97401
2011-02-15,4,1,0.0,5.1,1,86,03:52 PM,06:14 AM,08:12 AM,06:41 PM,2,-1,2,-1,17,98,100,7.1,1004,4,3,150,9,97401
2011-02-16,5,-0,0.0,6.8,1,94,05:10 PM,06:53 AM,08:10 AM,06:43 PM,1,-0,2,-0,12,81,97,1.2,1004,5,4,147,7,97401
2011-02-17,5,-5,0.0,8.4,1,100,06:29 PM,07:27 AM,08:09 AM,06:44 PM,-0,-1,1,-1,10,50,93,0.7,1008,5,5,177,5,97401
2011-02-18,7,-3,0.0,10.0,2,100,07:49 PM,07:57 AM,08:07 AM,06:46 PM,-2,-2,1,-2,15,48,85,0.0,1011,7,5,140,9,97401
2011-02-19,7,-4,0.0,10.0,2,84,09:08 PM,08:25 AM,08:06 AM,06:47 PM,-2,-1,1,-1,11,54,84,0.2,1010,7,8,200,7,97401
2011-02-20,6,-0,0.0,5.2,1,76,10:26 PM,08:54 AM,08:04 AM,06:48 PM,-0,0,2,0,12,89,83,0.1,1018,6,7,188,7,97401
