date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2011-01-11,-8,-20,0.0,8.7,2,43,11:45 AM,12:23 AM,08:21 AM,05:57 PM,-17,-23,-16,-23,25,10,91,0.0,1040,-8,8,262,12,80401
2011-01-12,-0,-18,0.0,8.7,2,51,12:11 PM,01:22 AM,08:21 AM,05:58 PM,-12,-17,-11,-17,26,10,91,0.0,1037,-0,9,259,13,80401
2011-01-13,4,-7,0.0,7.0,2,58,12:42 PM,02:22 AM,08:21 AM,05:59 PM,-3,-8,-3,-8,30,25,95,0.0,1027,4,8,260,15,80401
2011-01-14,4,-6,0.0,9.8,1,65,01:19 PM,03:23 AM,08:20 AM,06:00 PM,-3,-6,-2,-6,22,35,94,0.0,1025,4,7,264,11,80401
2011-01-15,4,-6,0.0,9.8,2,72,02:02 PM,04:25 AM,08:20 AM,06:01 PM,-3,-6,-2,-6,24,13,91,0.0,1025,4,9,271,12,80401
2011-01-16,5,-7,0.0,9.8,2,80,02:54 PM,05:26 AM,08:20 AM,06:02 PM,-3,-6,-2,-6,30,24,93,0.0,1018,5,8,260,15,80401
2011-01-17,5,-1,0.3,9.8,2,87,03:55 PM,06:22 AM,08:19 AM,06:03 PM,-0,-2,2,-2,24,21,89,0.8,1008,5,8,250,12,80401
2011-01-18,4,-5,0.0,9.9,2,94,05:03 PM,07:14 AM,08:19 AM,06:04 PM,-5,-5,-2,-5,19,16,78,0.0,1016,4,9,257,10,80401
2011-01-19,1,-9,0.5,9.9,2,100,06:16 PM,07:59 AM,08:18 AM,06:05 PM,-9,-9,-4,-9,19,29,72,0.6,1014,1,9,176,11,80401
2011-01-20,-1,-11,0.0,9.9,2,100,07:32 PM,08:38 AM,08:18 AM,06:06 PM,-13,-12,-8,-12,17,21,69,0.1,1028,-1,10,244,9,80401
2011-01-21,1,-8,0.0,9.9,2,84,08:46 PM,09:13 AM,08:17 AM,06:07 PM,-8,-10,-5,-10,30,10,84,0.1,1020,1,9,265,16,80401
2011-01-22,3,-7,0.1,9.9,2,77,10:00 PM,09:44 AM,08:17 AM,06:09 PM,-9,-8,-3,-8,25,16,67,0.3,1013,3,9,284,14,80401
2011-01-23,1,-11,0.0,9.9,2,69,11:12 PM,10:14 AM,08:16 AM,06:10 PM,-12,-11,-6,-11,25,15,62,0.0,1023,1,10,268,14,80401
2011-01-24,-2,-10,1.4,9.9,2,62,No moonrise,10:45 AM,08:15 AM,06:11 PM,-10,-10,-6,-10,18,30,72,1.6,1025,-2,9,113,10,80401
2011-01-25,2,-13,0.3,10.0,2,55,12:24 AM,11:18 AM,08:15 AM,06:12 PM,-12,-10,-6,-10,18,20,65,0.4,1026,2,9,285,9,80401
2011-01-26,2,-8,0.1,10.0,2,48,01:36 AM,11:54 AM,08:14 AM,06:13 PM,-8,-7,-4,-7,15,14,73,0.2,1028,2,10,274,8,80401
2011-01-27,7,-5,0.0,10.0,2,40,02:45 AM,12:35 PM,08:13 AM,06:14 PM,-7,-4,-1,-4,22,19,66,0.0,1025,7,10,258,11,80401
2011-01-28,11,-3,0.0,10.0,2,33,03:51 AM,01:23 PM,08:12 AM,06:15 PM,-3,-1,3,-1,23,5,68,0.0,1019,11,10,239,11,80401
2011-01-29,9,-2,0.0,10.1,2,26,04:51 AM,02:15 PM,08:11 AM,06:17 PM,-4,-1,2,-1,19,12,65,0.0,1015,9,10,244,10,80401
2011-01-30,7,-4,0.0,8.3,2,19,05:45 AM,03:14 PM,08:11 AM,06:18 PM,-8,-3,-1,-3,15,25,60,0.0,1016,7,10,271,8,80401
2011-01-31,-5,-18,2.9,10.0,2,15,06:30 AM,04:15 PM,08:10 AM,06:19 PM,-14,-14,-10,-14,13,46,74,3.4,1022,-5,8,103,9,80401
2011-02-01,-20,-25,0.4,8.3,1,0,07:09 AM,05:17 PM,08:09 AM,06:20 PM,-23,-30,-22,-30,14,78,93,0.5,1040,-20,6,55,10,80401
2011-02-02,-15,-29,0.0,10.1,2,0,07:42 AM,06:19 PM,08:08 AM,06:21 PM,-25,-27,-23,-27,10,32,86,0.0,1046,-15,10,205,6,80401
2011-02-03,-4,-23,0.6,10.0,2,0,08:10 AM,07:19 PM,08:07 AM,06:23 PM,-15,-19,-13,-19,21,29,86,0.8,1037,-4,8,216,10,80401
2011-02-04,1,-13,0.1,10.2,2,3,08:36 AM,08:18 PM,08:06 AM,06:24 PM,-8,-11,-6,-11,19,29,88,0.3,1025,1,8,271,10,80401
2011-02-05,1,-8,4.3,10.0,1,11,09:00 AM,09:16 PM,08:05 AM,06:25 PM,-5,-8,-4,-8,20,49,91,5.1,1013,1,7,214,11,80401
2011-02-06,-6,-11,4.9,6.7,1,18,09:24 AM,10:13 PM,08:04 AM,06:26 PM,-8,-11,-8,-11,11,69,97,5.8,1025,-6,3,82,8,80401
2011-02-07,2,-15,0.2,10.2,2,26,09:48 AM,11:11 PM,08:03 AM,06:27 PM,-9,-13,-8,-13,24,29,87,0.3,1021,2,9,243,12,80401
2011-02-08,-5,-22,4.6,5.1,1,33,10:14 AM,No moonset,08:02 AM,06:29 PM,-16,-20,-15,-20,12,82,97,5.5,1028,-5,4,100,9,80401
2011-02-09,-8,-25,0.0,10.3,2,41,10:42 AM,12:10 AM,08:01 AM,06:30 PM,-20,-25,-18,-25,20,13,90,0.0,1039,-8,9,261,10,80401
2011-02-10,-5,-18,0.0,10.3,2,48,11:16 AM,01:10 AM,08:00 AM,06:31 PM,-14,-19,-13,-19,26,15,92,0.0,1028,-5,10,254,14,80401
2011-02-11,-0,-14,0.0,10.7,2,56,11:55 AM,02:10 AM,07:59 AM,06:32 PM,-9,-14,-8,-14,27,15,95,0.0,1029,-0,8,258,14,80401
2011-02-12,7,-9,0.0,10.8,2,64,12:41 PM,03:10 AM,07:57 AM,06:33 PM,-4,-8,-3,-8,32,8,91,0.0,1029,7,9,266,16,80401
2011-02-13,9,-6,0.0,10.8,2,71,01:36 PM,04:07 AM,07:56 AM,06:34 PM,-2,-5,0,-5,35,5,88,0.0,1022,9,10,261,17,80401
2011-02-14,8,-6,0.0,10.8,2,79,02:39 PM,05:00 AM,07:55 AM,06:36 PM,-2,-3,-0,-3,20,7,89,0.0,1021,8,10,252,10,80401
2011-02-15,10,-5,0.0,10.8,2,86,03:50 PM,05:48 AM,07:54 AM,06:37 PM,-0,-3,1,-3,28,10,91,0.0,1018,10,9,219,14,80401
2011-02-16,10,-3,0.0,10.9,2,94,05:03 PM,06:29 AM,07:52 AM,06:38 PM,0,-2,2,-2,38,7,86,0.0,1007,10,10,234,19,80401
2011-02-17,3,-5,0.1,10.9,2,100,06:19 PM,07:07 AM,07:51 AM,06:39 PM,-4,-4,-1,-4,18,16,81,0.4,1007,3,9,255,10,80401
2011-02-18,7,-8,0.0,10.9,2,100,07:35 PM,07:41 AM,07:50 AM,06:40 PM,-7,-5,-2,-5,22,11,70,0.1,1019,7,10,195,12,80401
2011-02-19,9,-4,0.0,10.9,2,84,08:51 PM,08:12 AM,07:49 AM,06:41 PM,-2,-1,2,-1,22,11,77,1.1,1013,9,10,256,11,80401
2011-02-20,1,-7,0.2,11.0,2,76,10:06 PM,08:44 AM,07:47 AM,06:43 PM,-6,-6,-2,-6,25,11,76,0.3,1003,1,10,252,15,80401
2011-02-21,1,-12,0.0,11.0,2,69,11:21 PM,09:18 AM,07:46 AM,06:44 PM,-12,-10,-6,-10,15,13,65,0.0,1015,1,10,241,9,80401
2011-02-22,5,-10,0.0,11.0,2,61,No moonrise,09:54 AM,07:45 AM,06:45 PM,-9,-7,-3,-7,21,5,66,0.0,1014,5,10,213,11,80401
2011-02-23,6,-8,0.1,11.0,2,53,12:33 AM,10:34 AM,07:43 AM,06:46 PM,-8,-6,-2,-6,18,9,70,0.1,1012,6,10,207,10,80401
2011-02-24,3,-7,0.9,11.1,2,46,01:43 AM,11:21 AM,07:42 AM,06:47 PM,-7,-5,-3,-5,10,28,74,1.1,1012,3,9,233,6,80401
